Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,fit_intercept,max_iter,tol,loss,random_state
autoUniv-au6-400_1551,2,0.3375,0.0045087337493896,0.0001747608184814,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.1941032542431562,False,634,0.0009196613960124,hinge,0
autoUniv-au6-400_1551,2,0.3375,0.0118083953857421,0.000237226486206,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.3475290746403461,True,1138,0.0001369532133524,hinge,0
autoUniv-au6-400_1551,2,0.325,0.0117113590240478,0.0002174377441406,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.3354633820511084,True,1286,0.0055503515779723,hinge,0
autoUniv-au6-400_1551,2,0.325,0.0114998817443847,0.0002093315124511,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.0315848957640683,True,1033,0.0003127067168566,squared_hinge,0
autoUniv-au6-400_1551,0,0.3125,0.0043678283691406,0.0001325607299804,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.85763303066353,True,903,0.00041020864727,hinge,0
autoUniv-au6-400_1551,1,0.3125,0.0151033401489257,0.0002045631408691,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.119385446419513,True,860,0.0017439296224829,hinge,0
autoUniv-au6-400_1551,0,0.3125,0.0039787292480468,0.0001144409179687,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.687212313601046,True,771,0.0001035620605334,hinge,0
autoUniv-au6-400_1551,0,0.3125,0.0040509700775146,0.0001354217529296,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2148194502564917,True,968,0.0095845490818513,hinge,0
autoUniv-au6-400_1551,0,0.3125,0.0042517185211181,0.0001177787780761,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2450268439312065,True,624,0.0010347680563947,squared_hinge,0
autoUniv-au6-400_1551,0,0.3125,0.0039749145507812,0.0001256465911865,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.755316853700892,True,452,0.0046664237963247,hinge,0
