Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,kernel,degree,gamma,coef0,shrinking,tol,random_state
sa-heart_1498,2,0.8260869565217391,0.0057494640350341,0.0012784004211425,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8785128911477933,rbf,4,scale,-0.0819421373881834,True,0.0002362306887565,0
sa-heart_1498,2,0.8260869565217391,0.0073440074920654,0.0016145706176757,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3178280340075914,rbf,3,auto,-0.0464196009075652,True,0.0002214938017102,0
sa-heart_1498,2,0.8260869565217391,0.0057024955749511,0.0015180110931396,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.889055739342581,sigmoid,2,scale,0.2290520128476669,False,0.0067468944812946,0
sa-heart_1498,2,0.8260869565217391,0.0057182312011718,0.0011992454528808,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0153904062668568,sigmoid,4,scale,-0.5809140107705597,False,0.001991926668892,0
sa-heart_1498,2,0.8260869565217391,0.0055105686187744,0.0014641284942626,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.316967949892209,linear,3,scale,0.101230456294556,False,0.0047918024500026,0
sa-heart_1498,2,0.8260869565217391,0.0039310455322265,0.001009464263916,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.607223049491884,rbf,2,scale,-0.1688123328600616,True,0.0001786798527917,0
sa-heart_1498,2,0.8260869565217391,0.00657320022583,0.0015788078308105,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6650296111128441,linear,3,scale,-0.2398066429616054,True,0.0001154927196624,0
sa-heart_1498,2,0.8260869565217391,0.0054399967193603,0.001474380493164,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.7331721088526992,sigmoid,2,auto,0.1756258781573785,True,0.0012575067475567,0
sa-heart_1498,2,0.8260869565217391,0.0103931427001953,0.0035583972930908,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.37363722855417,rbf,3,scale,0.0490023275195046,True,0.0005325784467997,0
sa-heart_1498,2,0.8260869565217391,0.0057423114776611,0.0011591911315917,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7691446159838624,rbf,3,scale,0.0630051435988639,False,0.0001114260155525,0
sa-heart_1498,2,0.8260869565217391,0.0040028095245361,0.0009686946868896,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.5406342501115542,rbf,2,scale,-0.322073996444785,False,0.0010735501911133,0
sa-heart_1498,2,0.8260869565217391,0.0059661865234375,0.0011999607086181,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7172467638779918,rbf,4,0.055382604331011685,0.1674616544483602,True,0.000283909228489,0
sa-heart_1498,2,0.8260869565217391,0.0055274963378906,0.0014815330505371,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.6526001841026566,linear,3,auto,-0.4406414880658855,False,0.006608885848064,0
sa-heart_1498,2,0.8260869565217391,0.0063273906707763,0.0015385150909423,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4269577029107158,rbf,3,0.9512528472001657,-0.3670749447983101,True,0.0056430147555569,0
