Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,random_state
sa-heart_1498,0,0.7849462365591398,0.1721143722534179,0.0048506259918212,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,143,entropy,7.0,2,1,sqrt,True,0
sa-heart_1498,0,0.7849462365591398,0.2725865840911865,0.0050718784332275,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,70,gini,,2,1,log2,True,0
sa-heart_1498,0,0.7849462365591398,0.2758679389953613,0.0049114227294921,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,183,log_loss,5.0,2,1,,True,0
sa-heart_1498,0,0.7849462365591398,0.1793243885040283,0.0049200057983398,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,122,log_loss,,2,2,sqrt,True,0
sa-heart_1498,0,0.7849462365591398,0.2813107967376709,0.0049965381622314,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,160,gini,,5,3,,True,0
autoUniv-au6-400_1551,0,0.4375,0.1914732456207275,0.0051624774932861,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,146,gini,19.0,2,2,,False,0
autoUniv-au6-400_1551,0,0.4375,0.1940658092498779,0.005422830581665,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140,gini,,2,2,sqrt,False,0
autoUniv-au6-400_1551,0,0.425,0.196714162826538,0.0065279006958007,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76,entropy,,2,1,,True,0
autoUniv-au6-400_1551,2,0.425,0.1699912548065185,0.0053672790527343,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47,gini,,2,1,log2,False,0
autoUniv-au6-400_1551,2,0.425,0.1678528785705566,0.0056993961334228,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,149,log_loss,4.0,3,2,sqrt,True,0
