Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,learning_rate,max_iter,max_depth,min_samples_leaf,l2_regularization,max_bins,random_state
analcatdata_creditscore_461,0,1.0,0.0371022224426269,0.0018045902252197,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.449745779016789,116,23.0,19,0.0871089091320186,255,0
analcatdata_creditscore_461,1,1.0,0.0356318950653076,0.0017547607421875,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0418847124354906,97,4.0,25,0.1806870536790568,235,0
analcatdata_creditscore_461,3,1.0,0.0376977920532226,0.0018270015716552,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3406055548492505,132,1.0,12,0.1752938667979705,255,0
analcatdata_creditscore_461,4,1.0,0.0366308689117431,0.0019173622131347,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0129267076133243,111,1.0,31,0.1590849423152499,255,0
analcatdata_creditscore_461,0,1.0,0.0332627296447753,0.0017945766448974,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0613006391308016,63,,13,0.085674462587471,255,0
sa-heart_1498,2,0.7934782608695652,0.2171845436096191,0.0022113323211669,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0179837603689883,112,,28,0.5137935047451373,246,0
sa-heart_1498,2,0.7934782608695652,0.2053995132446289,0.0020146369934082,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5334536250542382,60,20.0,31,0.003989743645019,253,0
sa-heart_1498,2,0.7934782608695652,1.2652981281280518,0.0022041797637939,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8627330066067673,191,,26,0.0217724635078636,255,0
sa-heart_1498,2,0.7934782608695652,0.1763033866882324,0.0019216537475585,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0447951941198449,112,,27,0.1654839612269214,255,0
sa-heart_1498,2,0.7934782608695652,0.1514759063720703,0.0019032955169677,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9500037542904614,53,16.0,45,0.1750382537701805,237,0
sa-heart_1498,2,0.7934782608695652,0.1363940238952636,0.0018761157989501,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3196061447439862,80,23.0,24,0.1707893550836438,255,0
sa-heart_1498,2,0.7934782608695652,0.1749250888824463,0.0018270015716552,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0100569849183944,138,,21,0.2061318253562467,234,0
sa-heart_1498,2,0.7934782608695652,0.207763671875,0.0020475387573242,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0934423068620059,45,9.0,23,0.0549233756350999,248,0
sa-heart_1498,2,0.7934782608695652,0.1953756809234619,0.0020117759704589,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4658019197680652,236,18.0,33,0.2685802358966333,255,0
